wav_filename,text
/home/beomgon/DeepSpeech/data/Zeroth/clips/124_003_2138.wav,ㄸㅗ S ㅁㅗ ㅂㅏ ㅇㅣㄹ S ㄱㅕㄹ ㅈㅔ S ㅅㅓ ㅂㅣ ㅅㅡ S ㅅㅏㅁ ㅅㅓㅇ ㅍㅔ ㅇㅣ ㅇㅘ S ㅎㅏㅁ ㄲㅔ S ㄱㅡㅁ ㅇㅠㅇ ㄱㅘ S ㄱㅕㄹ ㅈㅔ S ㄷㅡㅇ S ㅅㅓ ㅂㅣ ㅅㅡ S ㅊㅡㄱ ㅁㅕㄴ ㅇㅔ ㅅㅓ ㄷㅗ S ㅅㅣ ㄴㅓ ㅈㅣ ㄹㅡㄹ S ㄴㅐㄹ S ㅅㅜ S ㅇㅣㅆ ㄱㅔ S ㄷㅚㄴ ㄷㅏ
/home/beomgon/DeepSpeech/data/Zeroth/clips/124_003_2138.wav,ㅇㅣ S ㅁㅗ ㅂㅏ ㅇㅣㄹ S ㄱㅕㄹ ㅈㅔ S ㅅㅓ ㅂㅣ ㅅㅡ S ㅅㅏㅁ ㅅㅓㅇ ㅍㅔ ㅇㅣ ㅇㅘ S ㅎㅏㅁ ㄲㅔ S ㄱㅜㄱ ㅁㅜ ㅇㅛ
/home/beomgon/DeepSpeech/data/Zeroth/clips/127_003_0104.wav,ㄱㅛ ㅁㅏㄴ ㅎㅐ ㅈㅕ ㅅㅓ S ㅇㅣ ㅅㅏㅇ ㅎㅏㄴ S ㅈㅣㅅ ㅇㅡㄹ S ㅈㅓ ㅈㅣㄹ ㄹㅓ ㅇㅛ S ㅇㅜ ㄹㅣ S ㅇㅕㄱ ㅅㅏ ㅈㅓㄱ ㅇㅡ ㄹㅗ S ㅂㅗ ㅁㅕㄴ
/home/beomgon/DeepSpeech/data/Zeroth/clips/127_003_0104.wav,ㅇㅏ ㅁㅏ ㅇㅔ S ㅈㅓ ㅅㅓ S ㅇㅣ ㅅㅏㅇ ㅎㅏㄴ S ㅅㅣㄹ S ㅅㅣㄹ S ㅈㅓㄴ ㅈㅜ ㄹㅗ S ㅇㅜ ㄹㅣ S ㅇㅕㄱ ㅅㅏ ㅈㅓㄱ ㅇㅡㄹ S ㅂㅗ ㅁㅕㄴ S ㅇㅏ
/home/beomgon/DeepSpeech/data/Zeroth/clips/127_003_1215.wav,ㄱㅣㄴ S ㅂㅏㅁ ㅇㅡㄹ S ㄸㅜㅀ ㄱㅗ S ㅂㅜㄺ ㅇㅡㄴ S ㅎㅐ ㄱㅏ S ㄸㅡ ㅁㅕㄴ S ㄱㅣ ㅊㅏ ㅂㅗ ㄷㅏ S ㄴㅏㄹ ㄹㅕㅂ ㅎㅏㄴ S ㅈㅣ ㅎㅏ ㅊㅓㄹ ㅇㅣ S ㅅㅐ ㅂㅕㄱ S ㄷㅏ ㅅㅓㅅ ㅅㅣ S ㅅㅣㅂ ㅅㅏ ㅂㅜㄴ ㅇㅔ S ㄸㅏ ㄸㅏ ㄸㅏ ㄸㅏ S ㄱㅏ ㅂㅕ ㅇㅜㄴ S ㅇㅡㅁ ㅇㅏㄱ ㅇㅡㄹ S ㅇㅜㄹ ㄹㅣ ㅁㅕ S ㅅㅐ ㅂㅕㄱ ㄴㅕㅋ S ㅊㅓㅅ ㅊㅜㄹ ㅂㅏㄹ ㅇㅡㄹ S ㅎㅏㄴ ㄷㅏ
/home/beomgon/DeepSpeech/data/Zeroth/clips/127_003_1215.wav,ㄱㅏ ㅂㅏㅇ ㅇㅡㄹ S ㅈㅜㄹ ㄱㅗ S ㅂㅜ ㅁㅜㄴ ㅇㅢ ㄱㅏ S ㅈㅡㅇ ㅇㅕ S ㄱㅣ ㅊㅏ ㅂㅗ ㄷㅏ S ㄴㅏㄹ ㄹㅕㅂ ㅎㅏㄴ S ㅈㅣ ㅎㅏ S ㅈㅜㅇ ㅇㅣ S ㅅㅐ ㅂㅕㄱ S ㄷㅏ ㅅㅓㅅ S ㅅㅣ S ㅅㅏ ㅅㅣㅂ S ㅅㅏㅁ S ㅁㅜㄴ ㅇㅔ S ㄷㅏ ㄱㅏ S ㄴㅏ ㄱㅏ ㅂㅕ ㅇㅜㄴ ㅁㅏㄴ ㅇㅡ ㄹㅗ S ㅇㅣ ㅁㅕㄴ ㅅㅐㅇ ㅇㅜㄴ S ㅇㅑㄱ ㅅㅗㄱ ㄱㅣㄹ S ㅂㅏ ㄹㅡㄴ S ㄷㅏ
/home/beomgon/DeepSpeech/data/Zeroth/clips/114_003_0918.wav,ㄱㅡ ㅂㅗ ㄷㅏ ㄴㅡㄴ S ㅂㅐ ㄷㅏㄹ ㅇㅢ ㅁㅣㄴ ㅈㅗㄱ S ㄱㅘㅇ ㄱㅗ ㄹㅡㄹ S ㄸㅓ ㅇㅗㄹ ㄹㅣ ㄴㅡㄴ S ㅅㅏ ㄹㅏㅁ ㅇㅣ S ㅁㅏㄶ ㅇㅡㄹ S ㄱㅓㅅ S ㄱㅏㅌ ㄷㅏ
/home/beomgon/DeepSpeech/data/Zeroth/clips/114_003_0918.wav,ㄱㅡ ㅂㅗ ㄷㅏ ㄱㅏ S ㅂㅐ ㅂㅐㄱ ㅇㅔ S ㅂㅐ ㄷㅗㄱ ㅎㅏㄴ ㄱㅗ ㄹㅡㄹ S ㄸㅓ ㅇㅗㄹ ㄹㅣ ㅈㅣ S ㅂㅏ ㄹㅏ ㅇㅣ S ㅃㅏ ㅇㅔ S ㄱㅏ ㅎㅗㄱ ㅎㅏㄴ S ㅈㅏ
/home/beomgon/DeepSpeech/data/Zeroth/clips/152_003_2281.wav,ㄸㅏㅇ ㅋㅗㅇ ㅂㅗ ㅌㅡ S ㅇㅜㄴ ㅇㅕㅇ ㅇㅓㅂ ㅊㅔ ㅇㅘ S ㅁㅗ ㅌㅓ ㅂㅗ ㅌㅡ S ㅇㅜㄴ ㅈㅓㄴ ㅈㅏ ㄴㅡㄴ S ㅇㅜㄴ ㅇㅕㅇ ㅎㅓ ㄱㅏ ㅇㅘ S ㅇㅜㄴ ㅈㅓㄴ ㅁㅕㄴ ㅎㅓ ㄴㅡㄴ S ㄱㅏㅈ ㅊㅜㄴ S ㄱㅓㅅ ㅇㅡ ㄹㅗ S ㅎㅘㄱ ㅇㅣㄴ ㄷㅙㅆ ㄷㅏ
/home/beomgon/DeepSpeech/data/Zeroth/clips/152_003_2281.wav,ㅎㅏㄴ ㄱㅜㄱ S ㄱㅜㄱ ㅌㅗ ㅇㅕㅇ ㅊㅔ ㄱㅏ S ㅂㅜ ㅌㅓ S ㄷㅗ ㅈㅓㄴ ㅇㅡ ㅇㅏㄴ ㅇㅡㄴ S ㅇㅜㄴ ㅇㅕㅇ ㅎㅓ ㄱㅏ S ㅈㅡㅇ ㅇㅕ ㅎㅏ ㄴㅡㄴ S ㄱㅏㅈ ㅊㅜㄴ S ㄱㅓㅅ ㅇㅡ ㄹㅗ S ㅇㅏ ㅇㅣ ㅎㅐㅆ ㄷㅏ
